id,symbol,date,open,high,low,close,volume
1,AAL,1/2/2014,25.07,25.82,25.06,25.36,8998943
2,AAPL,1/2/2014,79.3828,79.5756,78.8601,79.0185,58791957
3,AAP,1/2/2014,110.36,111.88,109.29,109.74,542711
4,ABBV,1/2/2014,52.12,52.33,51.52,51.98,4569061
5,ABC,1/2/2014,70.11,70.23,69.48,69.89,1148391
6,ABT,1/2/2014,38.09,38.4,38,38.23,4967472
7,ACN,1/2/2014,81.5,81.92,81.09,81.13,2405384
8,ADBE,1/2/2014,59.06,59.53,58.94,59.29,2746370
9,ADI,1/2/2014,49.52,49.75,49.04,49.28,2799092
10,ADM,1/2/2014,43.22,43.29,42.79,42.99,2753765
11,ADP,1/2/2014,80.17,80.45,79.38,79.86,1965869
12,ADSK,1/2/2014,49.33,49.74,48.88,49.25,2488043
13,ADS,1/2/2014,262.44,262.68,258.78,262.34,547808
14,AEE,1/2/2014,36.05,36.11,35.47,35.53,1394264
15,AEP,1/2/2014,46.98,47.06,46.04,46.13,2752002
16,AES,1/2/2014,14.51,14.56,14.19,14.27,3987216
17,AET,1/2/2014,68.21,68.6,67.52,67.56,1650687
18,AFL,1/2/2014,66.63,66.694,65.81,65.96,1914657
19,AGN,1/2/2014,167.33,170.71,166.5937,168.05,1268722
20,AIG,1/2/2014,50.81,51.3,50.47,50.71,9198092
21,AIV,1/2/2014,25.9,26.14,25.66,25.91,844901
22,AIZ,1/2/2014,66.04,66.19,65.15,65.32,375524
23,AJG,1/2/2014,46.67,46.89,46.09,46.15,483694
24,AKAM,1/2/2014,47.11,47.1799,46.42,46.53,935107
25,ALB,1/2/2014,63.38,63.6,62.6,63.14,548782
26,ALGN,1/2/2014,57.06,57.37,56.43,56.96,437600
27,ALK,1/2/2014,36.665,36.965,36.275,36.59,900234
28,ALLE,1/2/2014,44.08,44.18,43.27,43.65,992872
29,ALL,1/2/2014,54.09,54.45,53.5,53.55,1909106
30,ALXN,1/2/2014,132.46,133.82,130.54,133.44,760197
31,AMAT,1/2/2014,17.69,17.69,17.37,17.55,7785873
32,AMD,1/2/2014,3.85,3.98,3.84,3.95,20569754
33,AME,1/2/2014,52.43,52.52,51.9,52.09,570244
34,AMGN,1/2/2014,114.36,116.19,114.06,115.795,2529728
35,AMG,1/2/2014,215.92,216.69,211.79,213.38,285563
36,AMP,1/2/2014,114.58,114.81,113.42,113.88,783767
37,AMT,1/2/2014,79.51,79.74,78.85,79.45,1701345
38,AMZN,1/2/2014,398.8,399.36,394.02,397.97,2140246
39,ANDV,1/2/2014,58.2,59.07,57.2601,57.96,2868883
40,ANSS,1/2/2014,86.44,87.15,85.29,86.01,276882
41,ANTM,1/2/2014,92,92.01,90.62,90.63,1432038
42,AON,1/2/2014,83.36,83.7,82.26,82.36,1209157
43,AOS,1/2/2014,26.965,26.99,26.535,26.66,1296914
44,APA,1/2/2014,85.82,85.97,85.16,85.48,2565384
